Conc1	3.4E-09	
Start1	813.82	
Stop1	5313.63	
Kobs	1.06132293861068E-05	
Error Kobs	9.00665991572662E-05	
Koff	0.00471693121618008	
Error Koff	NaN	
Time1	Data1	Fit1	
849.02	0.00536431	0.00643051	
849.22	0.00569353	0.00646928	
849.42	0.00537912	0.00650802	
849.62	0.00513805	0.00654673	
849.82	0.00527597	0.00658541	
850.02	0.0048784	0.00662407	
850.22	0.00482915	0.00666269	
850.42	0.00477	0.00670128	
850.62	0.00497913	0.00673985	
850.82	0.00468075	0.00677839	
851.02	0.00472402	0.00681689	
851.22	0.00473242	0.00685537	
851.42	0.00464618	0.00689382	
851.62	0.00508822	0.00693224	
851.82	0.00572273	0.00697063	
852.02	0.00566198	0.007009	
852.22	0.00582475	0.00704733	
852.42	0.00555657	0.00708563	
852.62	0.0061781	0.00712391	
852.82	0.00598347	0.00716216	
853.02	0.00651659	0.00720037	
853.22	0.00616632	0.00723856	
853.42	0.00584858	0.00727672	
853.62	0.00611513	0.00731485	
853.82	0.00602946	0.00735296	
854.02	0.00590537	0.00739103	
854.22	0.00571035	0.00742907	
854.42	0.00537936	0.00746709	
854.62	0.00528004	0.00750508	
854.82	0.00500722	0.00754304	
855.02	0.0050886	0.00758097	
855.22	0.00545947	0.00761887	
855.42	0.00623045	0.00765674	
855.62	0.00646388	0.00769459	
855.82	0.0066865	0.0077324	
856.02	0.00664112	0.00777019	
856.22	0.00651177	0.00780795	
856.42	0.00673236	0.00784568	
856.62	0.0068367	0.00788338	
856.82	0.00700633	0.00792105	
857.02	0.00688002	0.0079587	
857.22	0.00672202	0.00799632	
857.42	0.00719356	0.00803391	
857.62	0.00752701	0.00807146	
857.82	0.00749118	0.008109	
858.02	0.00738715	0.0081465	
858.22	0.00729596	0.00818397	
858.42	0.00722532	0.00822142	
858.62	0.00716619	0.00825884	
858.82	0.00756133	0.00829623	
859.02	0.00814819	0.00833359	
859.22	0.00858235	0.00837093	
859.42	0.00873456	0.00840823	
859.62	0.00868301	0.00844551	
859.82	0.00934419	0.00848276	
860.02	0.00944207	0.00851998	
860.22	0.00889419	0.00855717	
860.42	0.00877199	0.00859434	
