Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
856.64	0.01236036		
856.84	0.01216793		
857.04	0.01207988		
857.24	0.01206559		
857.44	0.01208311		
857.64	0.01252021		
857.84	0.01248819		
858.04	0.01246622		
858.24	0.01253135		
858.44	0.01246061		
858.64	0.01271745		
858.84	0.01259188		
859.04	0.01269611		
859.24	0.01224959		
859.44	0.01220995		
859.64	0.01226896		
859.84	0.0121854		
860.04	0.01195674		
860.24	0.01143735		
860.44	0.01110961		
860.64	0.01093124		
860.84	0.01094115		
861.04	0.01083909		
861.24	0.01103852		
861.44	0.01144494		
861.64	0.01165468		
861.84	0.01138649		
862.04	0.01163219		
862.24	0.01172745		
862.44	0.01167202		
862.64	0.0115504		
862.84	0.01166629		
863.04	0.01153672		
863.24	0.01145754		
863.44	0.01153551		
863.64	0.0118647		
863.84	0.0120164		
864.04	0.01180459		
864.24	0.01160481		
864.44	0.01153222		
864.64	0.01161118		
864.84	0.01181591		
865.04	0.0119762		
865.24	0.01233951		
865.44	0.01275598		
865.64	0.01293966		
865.84	0.01294188		
866.04	0.01303972		
866.24	0.01283351		
866.44	0.01258031		
866.64	0.01252619		
866.84	0.01234629		
867.04	0.01219056		
867.24	0.01204417		
867.44	0.01188993		
867.64	0.0120054		
867.84	0.01216242		
868.04	0.01197347		
868.24	0.01179443		
868.44	0.0111651		
868.64	0.01099249		
868.84	0.0111944		
869.04	0.01126831		
869.24	0.0112388		
869.44	0.01139962		
869.64	0.01158124		
869.84	0.0114499		
870.04	0.01166848		
870.24	0.01145642		
870.44	0.01130841		
870.64	0.01138886		
870.84	0.0113621		
871.04	0.01176273		
871.24	0.01176611		
871.44	0.01183788		
871.64	0.01211607		
871.84	0.01252768		
872.04	0.01234265		
872.24	0.01183102		
872.44	0.01144037		
872.64	0.01148137		
872.84	0.01143302		
873.04	0.01110564		
873.24	0.01114747		
873.44	0.0115504		
873.64	0.01174805		
873.84	0.01147847		
874.04	0.01135869		
874.24	0.01094805		
874.44	0.01099635		
874.64	0.01099703		
874.84	0.0111698		
875.04	0.01128432		
875.24	0.01164766		
875.44	0.01185103		
875.64	0.01197892		
875.84	0.01213329		
876.04	0.01198851		
876.24	0.01180625		
876.44	0.0120059		
876.64	0.0119027		
876.84	0.01173755		
877.04	0.0119792		
877.24	0.01215242		
877.44	0.01216904		
877.64	0.01203411		
877.84	0.01196028		
878.04	0.01189536		
878.24	0.01167285		
878.44	0.01164317		
878.64	0.01149089		
878.84	0.0119554		
879.04	0.01187752		
879.24	0.01213933		
879.44	0.01190896		
879.64	0.01183869		
879.84	0.0119209		
880.04	0.01179432		
880.24	0.011783		
880.44	0.01207855		
880.64	0.0119264		
880.84	0.01178975		
881.04	0.01210393		
881.24	0.01199203		
881.44	0.01210126		
881.64	0.01221361		
881.84	0.01205345		
882.04	0.01224025		
882.24	0.01224809		
882.44	0.01230187		
882.64	0.01227235		
882.84	0.01224019		
883.04	0.01201914		
883.24	0.01192432		
883.44	0.0117501		
883.64	0.01165402		
883.84	0.0117615		
884.04	0.01162439		
884.24	0.0118784		
884.44	0.01189183		
884.64	0.01145473		
884.84	0.01132606		
885.04	0.01160484		
885.24	0.01117223		
885.44	0.01093025		
885.64	0.01073513		
885.84	0.01058513		
886.04	0.01071096		
886.24	0.01077739		
886.44	0.01082866		
886.64	0.01073773		
886.84	0.01094799		
887.04	0.0111115		
887.24	0.01138425		
887.44	0.01156578		
887.64	0.0117168		
887.84	0.01202494		
888.04	0.01189716		
888.24	0.01196822		
888.44	0.01177382		
888.64	0.01169797		
888.84	0.01174836		
889.04	0.01178687		
889.24	0.01159782		
889.44	0.01173633		
889.64	0.0117129		
889.84	0.01166608		
890.04	0.01185018		
890.24	0.01200027		
890.44	0.01174131		
890.64	0.01162557		
890.84	0.01170785		
891.04	0.01139018		
891.24	0.01133272		
891.44	0.01068548		
891.64	0.01038508		
891.84	0.00966647		
892.04	0.00945302		
892.24	0.00942514		
892.44	0.00949516		
892.64	0.0096469		
892.84	0.00978939		
893.04	0.01005116		
893.24	0.01046582		
893.44	0.01090653		
893.64	0.01124477		
893.84	0.01138601		
894.04	0.0117887		
894.24	0.01224159		
