Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
856.64	0.01734696		
856.84	0.01743333		
857.04	0.0172088		
857.24	0.01675557		
857.44	0.01583772		
857.64	0.01521897		
857.84	0.01487681		
858.04	0.01459268		
858.24	0.01472043		
858.44	0.01430878		
858.64	0.01384376		
858.84	0.01405819		
859.04	0.01433555		
859.24	0.01427217		
859.44	0.01423793		
859.64	0.01433174		
859.84	0.01448992		
860.04	0.01504568		
860.24	0.01555168		
860.44	0.01572044		
860.64	0.01610896		
860.84	0.01617926		
861.04	0.0160915		
861.24	0.01604836		
861.44	0.0160647		
861.64	0.0158243		
861.84	0.01598553		
862.04	0.01611392		
862.24	0.01622332		
862.44	0.01567419		
862.64	0.01530706		
862.84	0.01523124		
863.04	0.01516627		
863.24	0.01496114		
863.44	0.01474669		
863.64	0.01441993		
863.84	0.01439281		
864.04	0.01487604		
864.24	0.01513244		
864.44	0.01524614		
864.64	0.01553074		
864.84	0.0156792		
865.04	0.01606165		
865.24	0.0161737		
865.44	0.01631478		
865.64	0.01611848		
865.84	0.01667064		
866.04	0.01692255		
866.24	0.01698623		
866.44	0.01662105		
866.64	0.01642338		
866.84	0.01619613		
867.04	0.01599034		
867.24	0.01556376		
867.44	0.01501822		
867.64	0.01469843		
867.84	0.01465521		
868.04	0.01470986		
868.24	0.01476816		
868.44	0.01492514		
868.64	0.01516209		
868.84	0.0149295		
869.04	0.01499913		
869.24	0.01468786		
869.44	0.01491823		
869.64	0.01520083		
869.84	0.01538203		
870.04	0.01545122		
870.24	0.01569564		
870.44	0.01559428		
870.64	0.0156477		
870.84	0.01517041		
871.04	0.01523056		
871.24	0.01559156		
871.44	0.0157422		
871.64	0.01591052		
871.84	0.01604711		
872.04	0.01582897		
872.24	0.01622093		
872.44	0.01624221		
872.64	0.01602005		
872.84	0.01556506		
873.04	0.01546093		
873.24	0.01532506		
873.44	0.01559571		
873.64	0.01542421		
873.84	0.01550195		
874.04	0.01565039		
874.24	0.01587812		
874.44	0.01594035		
874.64	0.01597508		
874.84	0.01591678		
875.04	0.01668598		
875.24	0.01697337		
875.44	0.0166771		
875.64	0.01652155		
875.84	0.01644813		
876.04	0.01635377		
876.24	0.01653872		
876.44	0.01626869		
876.64	0.01599427		
876.84	0.01576326		
877.04	0.01542662		
877.24	0.01546313		
877.44	0.0152679		
877.64	0.01500167		
877.84	0.01498847		
878.04	0.01454182		
878.24	0.0143513		
878.44	0.0145571		
878.64	0.01450931		
878.84	0.01461991		
879.04	0.01474821		
879.24	0.01467861		
879.44	0.01476908		
879.64	0.01480447		
879.84	0.01481259		
880.04	0.01509134		
880.24	0.01512792		
880.44	0.01534332		
880.64	0.01521067		
880.84	0.01534756		
881.04	0.01548873		
881.24	0.01562564		
881.44	0.01528018		
881.64	0.01539631		
881.84	0.0151126		
882.04	0.01469229		
882.24	0.014553		
882.44	0.01511714		
882.64	0.01515016		
882.84	0.01519966		
883.04	0.01517283		
883.24	0.01527744		
883.44	0.01513334		
883.64	0.01487935		
883.84	0.01495477		
884.04	0.01518232		
884.24	0.01516661		
884.44	0.01524026		
884.64	0.01509788		
884.84	0.01500235		
885.04	0.01495701		
885.24	0.01466302		
885.44	0.01443069		
885.64	0.01454481		
885.84	0.01409606		
886.04	0.0139807		
886.24	0.01433728		
886.44	0.01461409		
886.64	0.01484987		
886.84	0.01479318		
887.04	0.0150897		
887.24	0.01491034		
887.44	0.01486074		
887.64	0.01514393		
887.84	0.0153761		
888.04	0.0152657		
888.24	0.01539055		
888.44	0.01554882		
888.64	0.0153851		
888.84	0.01516216		
889.04	0.01491388		
889.24	0.01455116		
889.44	0.01419713		
889.64	0.01402139		
889.84	0.01385703		
890.04	0.01403021		
890.24	0.01456606		
890.44	0.0148126		
890.64	0.01526166		
890.84	0.01520223		
891.04	0.01549571		
891.24	0.01539811		
891.44	0.01601187		
891.64	0.01614751		
891.84	0.01663297		
892.04	0.01658147		
892.24	0.01666495		
892.44	0.01670318		
892.64	0.01623491		
892.84	0.01551824		
893.04	0.01517601		
893.24	0.01485199		
893.44	0.01446012		
893.64	0.01455625		
893.84	0.01449662		
894.04	0.01487175		
894.24	0.01485056		
894.44	0.0149093		
894.64	0.01491813		
894.84	0.01493822		
895.04	0.01497211		
895.24	0.01492287		
895.44	0.01508797		
895.64	0.01461928		
895.84	0.01472373		
896.04	0.0144292		
896.24	0.01436889		
896.44	0.01426349		
896.64	0.01420534		
896.84	0.01398573		
897.04	0.01455957		
