Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
852.04	-0.0088048		
852.24	-0.00848848		
852.44	-0.00837427		
852.64	-0.00830943		
852.84	-0.00797047		
853.04	-0.0080062		
853.24	-0.00797868		
853.44	-0.00798612		
853.64	-0.00803965		
853.84	-0.00798271		
854.04	-0.00807937		
854.24	-0.00859874		
854.44	-0.00885468		
854.64	-0.00850737		
854.84	-0.00848882		
855.04	-0.00833499		
855.24	-0.00810956		
855.44	-0.00777562		
855.64	-0.00750219		
855.84	-0.00720889		
856.04	-0.00723513		
856.24	-0.00749919		
856.44	-0.00777951		
856.64	-0.00768266		
856.84	-0.00769711		
857.04	-0.00828994		
857.24	-0.00857242		
857.44	-0.00892634		
857.64	-0.0091534		
857.84	-0.00940449		
858.04	-0.00920518		
858.24	-0.0094335		
858.44	-0.00969997		
858.64	-0.00938349		
858.84	-0.00921001		
859.04	-0.00917643		
859.24	-0.00946432		
859.44	-0.00924823		
859.64	-0.00902493		
859.84	-0.00929978		
860.04	-0.00948697		
860.24	-0.00945448		
860.44	-0.00933548		
860.64	-0.00924917		
860.84	-0.00956601		
861.04	-0.0096165		
861.24	-0.00964746		
861.44	-0.00958086		
861.64	-0.00962784		
861.84	-0.00947156		
862.04	-0.00937362		
862.24	-0.00984		
862.44	-0.0097592		
862.64	-0.00975364		
862.84	-0.00998997		
863.04	-0.01004005		
863.24	-0.01042977		
863.44	-0.01012232		
863.64	-0.01023462		
863.84	-0.01045396		
864.04	-0.01044903		
864.24	-0.01038267		
864.44	-0.01069819		
864.64	-0.0107247		
864.84	-0.01061529		
865.04	-0.01022426		
865.24	-0.01032558		
865.44	-0.01013788		
865.64	-0.00990475		
865.84	-0.00941272		
866.04	-0.0093782		
866.24	-0.0092152		
866.44	-0.00887468		
866.64	-0.008854		
866.84	-0.00845634		
867.04	-0.0083619		
867.24	-0.0086402		
867.44	-0.00842832		
867.64	-0.00855781		
867.84	-0.00870967		
868.04	-0.00882958		
868.24	-0.00921208		
868.44	-0.00928173		
868.64	-0.00901008		
868.84	-0.00923839		
869.04	-0.00922312		
869.24	-0.0093943		
869.44	-0.00927136		
869.64	-0.0090528		
869.84	-0.00882732		
870.04	-0.00903859		
870.24	-0.00914539		
870.44	-0.00921814		
870.64	-0.00945229		
870.84	-0.00936476		
871.04	-0.00959028		
871.24	-0.00959095		
871.44	-0.00973055		
871.64	-0.0099557		
871.84	-0.00994272		
872.04	-0.00978264		
872.24	-0.00996142		
872.44	-0.00963927		
872.64	-0.00947353		
872.84	-0.00934226		
873.04	-0.00919719		
873.24	-0.00892764		
873.44	-0.00850722		
873.64	-0.00802734		
873.84	-0.00777453		
874.04	-0.00801111		
874.24	-0.00793271		
874.44	-0.00806867		
874.64	-0.00846331		
874.84	-0.00836492		
875.04	-0.00842196		
875.24	-0.00874782		
875.44	-0.00893017		
875.64	-0.0089586		
875.84	-0.00873658		
876.04	-0.00858143		
876.24	-0.00882989		
876.44	-0.00843071		
876.64	-0.00846204		
876.84	-0.00844443		
877.04	-0.00883371		
877.24	-0.00857997		
877.44	-0.00858769		
877.64	-0.00852186		
877.84	-0.00878421		
878.04	-0.00905857		
878.24	-0.00903441		
878.44	-0.00926424		
878.64	-0.00982613		
878.84	-0.00961988		
879.04	-0.00935776		
879.24	-0.00945396		
879.44	-0.00939685		
879.64	-0.00932456		
879.84	-0.00893695		
880.04	-0.0090504		
880.24	-0.00900998		
880.44	-0.00883163		
880.64	-0.00900033		
880.84	-0.00915348		
881.04	-0.00949141		
881.24	-0.00932927		
881.44	-0.00972743		
881.64	-0.01005854		
881.84	-0.01020261		
882.04	-0.01022516		
882.24	-0.01035944		
882.44	-0.0106295		
882.64	-0.01060563		
882.84	-0.01006029		
883.04	-0.00973338		
883.24	-0.00986691		
883.44	-0.00993726		
883.64	-0.00971631		
883.84	-0.00969545		
884.04	-0.00989004		
884.24	-0.0094791		
884.44	-0.00969859		
884.64	-0.00976282		
884.84	-0.00992656		
885.04	-0.00988643		
885.24	-0.00987182		
885.44	-0.01036788		
885.64	-0.0105423		
885.84	-0.01049776		
886.04	-0.01071127		
886.24	-0.01071654		
886.44	-0.01063515		
886.64	-0.01039077		
886.84	-0.01058827		
887.04	-0.01096323		
887.24	-0.01135449		
887.44	-0.01122557		
887.64	-0.01103093		
887.84	-0.0111354		
888.04	-0.01099733		
888.24	-0.01102139		
888.44	-0.0114149		
888.64	-0.01104197		
888.84	-0.01096346		
889.04	-0.01079365		
889.24	-0.01075528		
889.44	-0.01091615		
889.64	-0.01073391		
889.84	-0.01059041		
890.04	-0.01050881		
890.24	-0.01023155		
890.44	-0.01036797		
890.64	-0.0104328		
890.84	-0.01076424		
891.04	-0.01082215		
891.24	-0.01088545		
891.44	-0.01076237		
891.64	-0.01058266		
891.84	-0.01058218		
892.04	-0.01054353		
892.24	-0.01052026		
892.44	-0.01064832		
892.64	-0.01058965		
892.84	-0.01072963		
893.04	-0.01066017		
893.24	-0.01056472		
893.44	-0.01044832		
893.64	-0.01044495		
893.84	-0.01038355		
894.04	-0.01042846		
894.24	-0.01019382		
894.44	-0.01030563		
894.64	-0.01026428		
894.84	-0.01028371		
895.04	-0.01049556		
895.24	-0.01044111		
895.44	-0.01036599		
895.64	-0.01011296		
895.84	-0.01013561		
896.04	-0.01005408		
896.24	-0.0101934		
896.44	-0.0105993		
896.64	-0.01051621		
896.84	-0.01047483		
897.04	-0.0104962		
897.24	-0.01048238		
897.44	-0.01065232		
897.64	-0.01087404		
897.84	-0.0110344		
898.04	-0.01123589		
898.24	-0.01114597		
898.44	-0.01099399		
898.64	-0.01065999		
898.84	-0.01038224		
899.04	-0.01031561		
899.24	-0.01004437		
899.44	-0.0101119		
899.64	-0.01006567		
899.84	-0.00981577		
900.04	-0.00988961		
900.24	-0.01031215		
900.44	-0.01038843		
900.64	-0.01050152		
900.84	-0.01089006		
901.04	-0.01097015		
901.24	-0.01097554		
901.44	-0.01125637		
901.64	-0.0112368		
901.84	-0.01129103		
902.04	-0.01128521		
902.24	-0.01111417		
902.44	-0.01108289		
902.64	-0.0109492		
902.84	-0.01077881		
903.04	-0.01073588		
903.24	-0.01078061		
903.44	-0.01088097		
903.64	-0.01077057		
903.84	-0.0105706		
904.04	-0.01054749		
904.24	-0.01057868		
904.44	-0.01028244		
904.64	-0.00997839		
904.84	-0.00996581		
905.04	-0.00968654		
905.24	-0.00958269		
905.44	-0.00946804		
905.64	-0.00928787		
905.84	-0.00916889		
906.04	-0.00934418		
906.24	-0.00934237		
906.44	-0.0095188		
906.64	-0.0093138		
906.84	-0.00961249		
907.04	-0.00988165		
907.24	-0.01021552		
907.44	-0.01068895		
907.64	-0.0105019		
907.84	-0.01054773		
