Conc1	5.5E-07	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
856.64	0.01569104		
856.84	0.01567366		
857.04	0.01561398		
857.24	0.01552152		
857.44	0.01569258		
857.64	0.01558096		
857.84	0.01566575		
858.04	0.01558625		
858.24	0.01569144		
858.44	0.01609205		
858.64	0.01586881		
858.84	0.01598303		
859.04	0.01615355		
859.24	0.01597736		
859.44	0.01604275		
859.64	0.01591956		
859.84	0.01571391		
860.04	0.015703		
860.24	0.01523415		
860.44	0.01511197		
860.64	0.01529857		
860.84	0.01499763		
861.04	0.01481083		
861.24	0.01477912		
861.44	0.01530223		
861.64	0.01496015		
861.84	0.01476796		
862.04	0.01478624		
862.24	0.01508525		
862.44	0.01527277		
862.64	0.01525814		
862.84	0.01550762		
863.04	0.01556634		
863.24	0.01554923		
863.44	0.01549424		
863.64	0.0153678		
863.84	0.01509077		
864.04	0.0150752		
864.24	0.01476595		
864.44	0.01508574		
864.64	0.01520667		
864.84	0.01509255		
865.04	0.0151205		
865.24	0.01481779		
865.44	0.014786		
865.64	0.01446374		
865.84	0.01415772		
866.04	0.01439928		
866.24	0.01446666		
866.44	0.0143718		
866.64	0.0142718		
866.84	0.0142236		
867.04	0.01421673		
867.24	0.01414034		
867.44	0.01405839		
867.64	0.01408014		
867.84	0.01422186		
868.04	0.01447942		
868.24	0.01476547		
868.44	0.01519597		
868.64	0.01512762		
868.84	0.01508585		
869.04	0.01488171		
869.24	0.01466716		
869.44	0.01462078		
869.64	0.0143844		
869.84	0.01428745		
870.04	0.014525		
870.24	0.01431838		
870.44	0.01424453		
870.64	0.01418209		
870.84	0.01399843		
871.04	0.01396256		
871.24	0.01415151		
871.44	0.01417513		
871.64	0.0143082		
871.84	0.01426229		
872.04	0.0140969		
872.24	0.01412397		
872.44	0.0139021		
872.64	0.01382702		
872.84	0.01389685		
873.04	0.01378577		
873.24	0.01371182		
873.44	0.01337263		
873.64	0.01343014		
873.84	0.01379127		
874.04	0.0137569		
874.24	0.01381515		
874.44	0.01405912		
874.64	0.01431915		
874.84	0.0146033		
875.04	0.01535693		
875.24	0.01558008		
875.44	0.01560618		
875.64	0.01562798		
875.84	0.01516471		
876.04	0.01529215		
876.24	0.01519121		
876.44	0.01520353		
876.64	0.01514969		
876.84	0.01507261		
877.04	0.01509189		
877.24	0.01472771		
877.44	0.01468553		
877.64	0.0144617		
877.84	0.01416485		
878.04	0.01390506		
878.24	0.01389291		
878.44	0.01362413		
878.64	0.0134919		
878.84	0.01335624		
879.04	0.01348425		
