Conc1	0.0	
Start1	799.84	
Stop1	5299.64	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
851.84	-0.00915015		
852.04	-0.00940854		
852.24	-0.00947142		
852.44	-0.00921724		
852.64	-0.0093875		
852.84	-0.00917679		
853.04	-0.00897535		
853.24	-0.00963551		
853.44	-0.00997661		
853.64	-0.00988884		
853.84	-0.00998137		
854.04	-0.00995744		
854.24	-0.01014507		
854.44	-0.01039617		
854.64	-0.01072563		
854.84	-0.01059475		
855.04	-0.01016867		
855.24	-0.00981341		
855.44	-0.00946741		
855.64	-0.00978238		
855.84	-0.00975398		
856.04	-0.00976546		
856.24	-0.00997811		
856.44	-0.01007225		
856.64	-0.01031649		
856.84	-0.01030953		
857.04	-0.01046695		
857.24	-0.01073913		
857.44	-0.01065108		
857.64	-0.01077514		
857.84	-0.01116684		
858.04	-0.01099114		
858.24	-0.01072462		
858.44	-0.0105239		
858.64	-0.01037176		
858.84	-0.00999542		
859.04	-0.01002869		
859.24	-0.01015888		
859.44	-0.00999384		
859.64	-0.01011894		
859.84	-0.00980328		
860.04	-0.00972481		
860.24	-0.00967546		
860.44	-0.00969085		
860.64	-0.00957548		
860.84	-0.00916064		
861.04	-0.00878587		
861.24	-0.00856489		
861.44	-0.00852987		
861.64	-0.00882739		
861.84	-0.0089543		
862.04	-0.00868817		
862.24	-0.00841547		
862.44	-0.00863409		
862.64	-0.00869036		
862.84	-0.00890297		
863.04	-0.00943495		
863.24	-0.00984435		
863.44	-0.00970829		
863.64	-0.00991865		
863.84	-0.01020555		
864.04	-0.01017914		
864.24	-0.0101791		
864.44	-0.01058762		
864.64	-0.01045662		
864.84	-0.01039898		
865.04	-0.01066494		
865.24	-0.01073513		
865.44	-0.01086333		
865.64	-0.01107359		
865.84	-0.01135333		
866.04	-0.01126719		
866.24	-0.01118406		
866.44	-0.01106901		
866.64	-0.01112666		
866.84	-0.01129545		
867.04	-0.0112642		
867.24	-0.01128137		
867.44	-0.01084092		
867.64	-0.01075634		
867.84	-0.01059917		
868.04	-0.00996875		
868.24	-0.00993671		
868.44	-0.01009996		
868.64	-0.01007918		
868.84	-0.00990155		
869.04	-0.01005615		
869.24	-0.00984035		
869.44	-0.01007025		
869.64	-0.0106173		
869.84	-0.01095365		
870.04	-0.01113278		
870.24	-0.01090337		
870.44	-0.01124194		
870.64	-0.01165041		
870.84	-0.01168774		
871.04	-0.01159712		
871.24	-0.0117313		
871.44	-0.01158298		
871.64	-0.01134582		
871.84	-0.01106279		
872.04	-0.01110522		
872.24	-0.01111065		
872.44	-0.01081479		
872.64	-0.01054278		
872.84	-0.01007793		
873.04	-0.01033601		
873.24	-0.01007356		
873.44	-0.01035817		
873.64	-0.01014628		
873.84	-0.01004221		
874.04	-0.00991848		
874.24	-0.00993143		
874.44	-0.01028948		
874.64	-0.01015712		
874.84	-0.01012891		
875.04	-0.01032828		
875.24	-0.01066391		
875.44	-0.01054434		
875.64	-0.01038846		
875.84	-0.0102335		
876.04	-0.0103871		
876.24	-0.00988212		
876.44	-0.00980381		
876.64	-0.00958993		
876.84	-0.0096967		
877.04	-0.00981619		
877.24	-0.00957054		
877.44	-0.00974287		
877.64	-0.00977089		
877.84	-0.01022147		
878.04	-0.01079397		
878.24	-0.0110876		
878.44	-0.01128261		
878.64	-0.01143125		
878.84	-0.01161995		
879.04	-0.01193911		
879.24	-0.01207512		
879.44	-0.0118762		
879.64	-0.01202365		
879.84	-0.01175868		
880.04	-0.01197932		
880.24	-0.01157019		
880.44	-0.0118278		
880.64	-0.01131175		
880.84	-0.01121309		
881.04	-0.01102159		
881.24	-0.01104453		
881.44	-0.01112007		
881.64	-0.01123676		
881.84	-0.01107852		
882.04	-0.01122648		
882.24	-0.01073201		
882.44	-0.01076053		
882.64	-0.010337		
882.84	-0.01016656		
883.04	-0.00996936		
883.24	-0.00975116		
883.44	-0.00963071		
883.64	-0.01004667		
883.84	-0.00998215		
884.04	-0.01019212		
884.24	-0.00990359		
884.44	-0.00995476		
884.64	-0.00976334		
884.84	-0.01011611		
885.04	-0.01044891		
885.24	-0.01065681		
885.44	-0.01069477		
885.64	-0.01089564		
885.84	-0.01107127		
886.04	-0.01140217		
886.24	-0.01125114		
886.44	-0.01124964		
886.64	-0.01120973		
886.84	-0.01134228		
887.04	-0.01131952		
887.24	-0.01146027		
887.44	-0.01143239		
887.64	-0.01169797		
887.84	-0.01131645		
888.04	-0.01122126		
888.24	-0.01091131		
888.44	-0.01102443		
888.64	-0.01129063		
888.84	-0.01133771		
889.04	-0.01135723		
889.24	-0.01138098		
889.44	-0.01171197		
889.64	-0.01193774		
889.84	-0.0116843		
890.04	-0.01159086		
890.24	-0.0114853		
890.44	-0.01144089		
890.64	-0.0117203		
890.84	-0.01183303		
891.04	-0.01195974		
891.24	-0.01210708		
891.44	-0.01198323		
891.64	-0.01207572		
891.84	-0.01198105		
892.04	-0.01221912		
892.24	-0.01226676		
892.44	-0.01235799		
892.64	-0.01228897		
892.84	-0.01213414		
893.04	-0.01201846		
893.24	-0.01198682		
893.44	-0.01212529		
893.64	-0.01185284		
893.84	-0.01139498		
894.04	-0.01122338		
894.24	-0.01122358		
894.44	-0.01094712		
894.64	-0.01097652		
894.84	-0.01102498		
