DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
3.033333,0.002354,,,,,,
3.05,0.001255,,,,,,
3.066667,0.000306,,,,,,
3.083333,-0.001082,,,,,,
3.1,-0.001301,,,,,,
3.116667,-0.00277,,,,,,
3.133333,-0.001999,,,,,,
3.15,-0.000668,,,,,,
3.166667,0.000793,,,,,,
3.183333,0.002003,,,,,,
3.2,0.004064,,,,,,
3.216667,0.004174,,,,,,
3.233333,0.003604,,,,,,
3.25,0.003254,,,,,,
3.266667,0.002014,,,,,,
3.283333,0.001543,,,,,,
3.3,-0.000048,,,,,,
3.316667,-0.00063,,,,,,
3.333333,-0.001311,,,,,,
3.35,-0.001655,,,,,,
3.366667,-0.003118,,,,,,
3.383333,-0.002842,,,,,,
3.4,-0.003466,,,,,,
3.416667,-0.004273,,,,,,
3.433333,-0.0046,,,,,,
3.45,-0.004606,,,,,,
3.466667,-0.003495,,,,,,
3.483333,-0.002525,,,,,,
3.5,-0.001525,,,,,,
3.516667,-0.001135,,,,,,
3.533333,-0.001631,,,,,,
3.55,0.000344,,,,,,
3.566667,0.001929,,,,,,
3.583333,0.00004,,,,,,
3.6,0.002596,,,,,,
3.616667,-0.006778,,,,,,
3.633333,-0.029802,,,,,,
3.65,-0.058832,,,,,,
3.666667,-0.092112,,,,,,
3.683333,-0.125591,,,,,,
3.7,-0.1488,,,,,,
3.716667,-0.158781,,,,,,
3.733333,-0.159693,,,,,,
3.75,-0.150785,,,,,,
3.766667,-0.134847,,,,,,
3.783333,-0.116921,,,,,,
3.8,-0.098626,,,,,,
3.816667,-0.082151,,,,,,
3.833333,-0.068816,,,,,,
3.85,-0.059094,,,,,,
3.866667,-0.049521,,,,,,
3.883333,-0.042229,,,,,,
3.9,-0.035007,,,,,,
3.916667,-0.027677,,,,,,
3.933333,-0.021547,,,,,,
3.95,-0.016787,,,,,,
3.966667,-0.013339,,,,,,
3.983333,-0.010461,,,,,,
4,-0.008864,,,,,,
4.016667,-0.006996,,,,,,
4.033333,-0.00551,,,,,,
4.05,-0.004755,,,,,,
4.066667,-0.00541,,,,,,
4.083333,-0.004385,,,,,,
4.1,-0.003732,,,,,,
4.116667,-0.003229,,,,,,
4.133333,-0.001946,,,,,,
4.15,0.000356,,,,,,
4.166667,0.000797,,,,,,
4.183333,0.002148,,,,,,
4.2,0.002739,,,,,,
4.216667,0.002929,,,,,,
4.233333,0.002127,,,,,,
4.25,0.000666,,,,,,
4.266667,-0.000775,,,,,,
4.283333,-0.000508,,,,,,
4.3,-0.000291,,,,,,
4.316667,0.000276,,,,,,
4.333333,0.002733,,,,,,
4.35,0.003989,,,,,,
4.366667,0.003654,,,,,,
4.383333,0.003579,,,,,,
4.4,0.003994,,,,,,
4.416667,0.002267,,,,,,
4.433333,0.001631,,,,,,
4.45,0.000974,,,,,,
4.466667,0.001217,,,,,,
4.483333,0.001059,,,,,,
4.5,0.000981,,,,,,
4.516667,0.000423,,,,,,
4.533333,0.001085,,,,,,
4.55,0.000283,,,,,,
4.566667,-0.001299,,,,,,
4.583333,-0.001524,,,,,,
4.6,-0.002614,,,,,,
4.616667,-0.003514,,,,,,
4.633333,-0.002354,,,,,,
4.65,-0.001311,,,,,,
4.666667,-0.001159,,,,,,
4.683333,-0.001056,,,,,,
4.7,-0.000843,,,,,,
4.716667,-0.000765,,,,,,
4.733333,0.001129,,,,,,
4.75,0.000272,,,,,,
4.766667,-0.000045,,,,,,
4.783333,0.000508,,,,,,
4.8,0.001346,,,,,,
4.816667,0.000735,,,,,,
4.833333,0.000385,,,,,,
4.85,0.000478,,,,,,
4.866667,0.0004,,,,,,
4.883333,0.000523,,,,,,
4.9,0.001047,,,,,,
4.916667,0.001721,,,,,,
4.933333,0.000756,,,,,,
4.95,0.00001,,,,,,
4.966667,-0.001136,,,,,,
4.983333,-0.001103,,,,,,
5,-0.001159,,,,,,
5.016667,-0.001126,,,,,,
5.033333,-0.001493,,,,,,
5.05,-0.00149,,,,,,
5.066667,-0.001017,,,,,,
5.083333,-0.000874,,,,,,
5.1,-0.000071,,,,,,
5.116667,0.001471,,,,,,
5.133333,0.002984,,,,,,
5.15,0.003266,,,,,,
5.166667,0.002698,,,,,,
5.183333,0.00172,,,,,,
5.2,0.001033,,,,,,
5.216667,-0.000655,,,,,,
5.233333,-0.001493,,,,,,
5.25,-0.001071,,,,,,
5.266667,-0.000819,,,,,,
5.283333,-0.000678,,,,,,
5.3,0.001284,,,,,,
5.316667,0.001796,,,,,,
5.333333,0.000778,,,,,,
5.35,0.00123,,,,,,
5.366667,0.000031,,,,,,
5.383333,-0.001347,,,,,,
5.4,-0.001065,,,,,,
5.416667,-0.000963,,,,,,
5.433333,-0.001831,,,,,,
5.45,-0.001429,,,,,,
5.466667,-0.000077,,,,,,
5.483333,-0.000415,,,,,,
5.5,-0.000263,,,,,,
5.516667,0.001319,,,,,,
5.533333,0.002701,,,,,,
5.55,0.001584,,,,,,
5.566667,0.001437,,,,,,
5.583333,0.001309,,,,,,
5.6,-0.000277,,,,,,
5.616667,-0.001234,,,,,,
5.633333,-0.001241,,,,,,
5.65,-0.000647,,,,,,
5.666667,-0.000583,,,,,,
5.683333,-0.000579,,,,,,
5.7,0.000085,,,,,,
5.716667,0.000679,,,,,,
5.733333,-0.000436,,,,,,
5.75,-0.000191,,,,,,
5.766667,0.001044,,,,,,
5.783333,0.001219,,,,,,
5.8,0.001405,,,,,,
5.816667,0.002081,,,,,,
5.833333,0.001437,,,,,,
