DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
3.183333,0.003717,,,,,,
3.2,0.003436,,,,,,
3.216667,-0.000338,,,,,,
3.233333,-0.003881,,,,,,
3.25,-0.005365,,,,,,
3.266667,-0.006698,,,,,,
3.283333,-0.006662,,,,,,
3.3,-0.005131,,,,,,
3.316667,-0.005243,,,,,,
3.333333,-0.008005,,,,,,
3.35,-0.009457,,,,,,
3.366667,-0.0082,,,,,,
3.383333,-0.005322,,,,,,
3.4,-0.000649,,,,,,
3.416667,0.004521,,,,,,
3.433333,0.009002,,,,,,
3.45,0.010332,,,,,,
3.466667,0.010482,,,,,,
3.483333,0.011452,,,,,,
3.5,0.016271,,,,,,
3.516667,0.023057,,,,,,
3.533333,0.029103,,,,,,
3.55,0.037609,,,,,,
3.566667,0.046535,,,,,,
3.583333,0.053382,,,,,,
3.6,0.055718,,,,,,
3.616667,0.052592,,,,,,
3.633333,0.040406,,,,,,
3.65,0.0233,,,,,,
3.666667,0.003214,,,,,,
3.683333,-0.014522,,,,,,
3.7,-0.026457,,,,,,
3.716667,-0.031474,,,,,,
3.733333,-0.031731,,,,,,
3.75,-0.029868,,,,,,
3.766667,-0.026595,,,,,,
3.783333,-0.022921,,,,,,
3.8,-0.018936,,,,,,
3.816667,-0.016242,,,,,,
3.833333,-0.013368,,,,,,
3.85,-0.012204,,,,,,
3.866667,-0.01078,,,,,,
3.883333,-0.010246,,,,,,
3.9,-0.008989,,,,,,
3.916667,-0.008272,,,,,,
3.933333,-0.006786,,,,,,
3.95,-0.00598,,,,,,
3.966667,-0.004914,,,,,,
3.983333,-0.002778,,,,,,
4,-0.000276,,,,,,
4.016667,0.000274,,,,,,
4.033333,0.000534,,,,,,
4.05,0.001513,,,,,,
4.066667,0.001073,,,,,,
4.083333,0.000123,,,,,,
4.1,0.00035,,,,,,
4.116667,0.001195,,,,,,
4.133333,0.00144,,,,,,
4.15,0.000185,,,,,,
4.166667,-0.00007,,,,,,
4.183333,-0.000984,,,,,,
4.2,-0.001282,,,,,,
4.216667,-0.00194,,,,,,
4.233333,-0.000418,,,,,,
4.25,-0.000566,,,,,,
4.266667,0.000696,,,,,,
