DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,-0.003909,,,0.036928,-4.180055,0.26937,-4.435118
0.1,-0.003012,,,0.26937,-4.179044,0.504647,-4.459888
0.116667,-0.000025,,,0.504647,-4.176075,0.742759,-3.623193
0.133333,0.002722,,,0.742759,-4.169723,0.983707,-4.296397
0.15,0.002899,,,0.983707,-4.152323,1.227491,-3.887662
0.166667,0.002236,,,1.227491,-4.036049,1.474109,-1.704622
0.183333,0.001183,,,1.474109,-1.677914,1.723563,0.151233
0.2,-0.001459,,,1.723563,-0.080602,1.975853,0.135381
0.216667,-0.003092,,,1.975853,-0.019398,2.230977,-0.243474
0.233333,-0.003734,,,2.230977,-0.00814,2.488937,-0.044867
0.25,-0.003217,,,2.488937,-0.004062,2.749733,0.429135
0.266667,-0.002209,,,2.749733,-0.002059,3.013364,0.221438
0.283333,-0.000892,,,3.013364,-0.000869,3.27983,-0.748279
0.3,-0.000793,,,3.27983,-0.000055,,
0.316667,0.000566,,,3.549131,0.000563,,
0.333333,0.001215,,,3.821268,0.001072,,
0.35,0.001534,,,,,,
0.366667,0.002183,,,,,,
0.383333,0.003431,,,,,,
0.4,0.002813,,,,,,
0.416667,0.002534,,,,,,
0.433333,0.002536,,,,,,
0.45,0.004657,,,,,,
0.466667,0.004938,,,,,,
0.483333,0.00563,,,,,,
0.5,0.004613,,,,,,
0.516667,0.002426,,,,,,
0.533333,-0.00059,,,,,,
0.55,-0.001847,,,,,,
0.566667,-0.002104,,,,,,
0.583333,-0.00274,,,,,,
0.6,-0.003178,,,,,,
0.616667,-0.004315,,,,,,
0.633333,-0.004472,,,,,,
0.65,-0.00467,,,,,,
0.666667,-0.004027,,,,,,
0.683333,-0.003295,,,,,,
0.7,-0.001314,,,,,,
0.716667,-0.000223,,,,,,
0.733333,-0.000412,,,,,,
0.75,-0.000322,,,,,,
0.766667,-0.000601,,,,,,
0.783333,-0.00127,,,,,,
